file,phase,page,delay,concurrency,requests,seconds,rps,p50,p95,p99,mean,cpuPct,cpuMsPerRequest,eluPct,eldP99,gcPct,rssMiB,heapMiB,backendP95,bodyBytes,loadCpuPct,throttledUsec
diagnostic-profile.json,profile,large,50,64,1704,20.758740431,82.08590524381417,739.5926739999995,1095.2555460000003,1221.984638,764.426194072771,105.20501103052413,12.858602699530516,96.98522292457218,869.269503,1.9809436857455238,354.5703125,56.133392333984375,53.968120000005,1554074,22.870006641719048,0
focus-r1.json,focus,large,50,64,5875,60.647015870999994,96.87203757059528,654.7448640000002,705.7422269999988,727.1455630000019,657.1937740497002,102.47565322751564,10.58244340425532,92.96497248354846,632.815615,1.539227000439901,369.61328125,57.79499053955078,53.55496700000367,1554074,15.274312248789514,0
focus-r2.json,focus,large,50,64,5667,60.66349144,93.41697725402136,667.4693670000015,745.7150849999999,1050.5955599999943,681.2928115362622,102.79006646556623,11.007630845244398,93.28215658988691,648.544255,1.5573794951752449,345.40625,57.953521728515625,53.07066300000588,1554074,16.572886632811397,0
focus-r3.json,focus,large,50,64,12271,60.305282858000005,203.48134389642695,294.58433700000023,413.0616110000001,700.7391849999999,313.49319420577,104.12329262195392,5.119814196072039,85.38572843689359,301.727743,4.1217503425379585,370.16015625,65.20262145996094,52.89921100001084,1554074,36.55836468111467,0
matrix-hello-d200-c1.json,matrix,hello,200,1,73,15.034760295,4.855414956251552,205.84242300000005,207.556372,210.68636199999997,205.6840886027396,2.7321074266029988,5.633493150684932,2.2968274476916015,13.819903,0,206.84765625,49.335472106933594,202.42310800001724,910,3.2537060446285806,0
matrix-hello-d200-c16.json,matrix,hello,200,16,1106,15.181663418,72.85104204646517,217.03859700000066,237.96518000000015,253.74213899999995,219.17713061754102,10.316817826651281,1.4181844484629293,9.95546188849938,19.955711,0.9887416344041108,201.25,46.32910919189453,204.2589539999608,910,12.822667768630728,0
matrix-hello-d200-c64.json,matrix,hello,200,64,4097,15.171348879000002,270.04849948912704,234.351901,247.78959199999917,289.98267599999997,236.5513015860387,21.2638892455482,0.7883736880644374,17.738061790986837,28.082175,1.161877025776571,206.84765625,53.6025390625,205.53275600000052,910,18.559723881240323,0
matrix-hello-d50-c1.json,matrix,hello,50,1,268,15.050252000999999,17.807010805014627,55.76256699999976,58.656840999999986,62.31374400000004,55.965005977611895,7.42529282042579,4.176694029850746,6.672730685765145,14.106623,0.35019240739977736,201.25,47.366050720214844,53.03958699997747,909,5.41826452156747,0
matrix-hello-d50-c16.json,matrix,hello,50,16,3625,15.067230622,240.58833975150392,65.67388100000062,77.80222899999899,83.23798400000032,66.13525759034486,28.529246087065058,1.1877503448275863,25.17819737583024,21.135359,1.9110786210368886,206.84765625,46.49012756347656,53.45466099999612,909,23.151531486512077,0
matrix-hello-d50-c64.json,matrix,hello,50,64,14277,15.0642125,947.7428707275604,65.23264199999994,88.1828659999992,111.33446700000059,67.41672609245641,43.04977485644365,0.4553277299152483,33.06548208447664,27.787263,3.1474059164692196,201.125,54.01429748535156,53.26618899998721,909,21.714554847220242,0
